,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,490.8391,334897.0312,578.7029,0.4646,0.0148,0.0126
1,325.9188,136806.6562,369.8738,-0.0248,0.0094,0.0084
2,559.5547,565585.25,752.054,0.3886,0.0187,0.0139
Mean,458.7708,345762.9792,566.8769,0.2761,0.0143,0.0116
SD,98.0398,175216.6701,156.2483,0.2151,0.0038,0.0024
